date,regime
2023-01-10,recovery
2023-01-11,recovery
2023-01-12,recovery
2023-01-13,recovery
2023-01-16,recovery
2023-01-17,recovery
2023-01-18,recovery
2023-01-19,recovery
2023-01-20,recovery
2023-01-23,recovery
2023-01-24,recovery
2023-01-25,recovery
2023-01-26,recovery
2023-01-27,recovery
2023-01-30,recovery
2023-01-31,recovery
2023-02-01,recovery
2023-02-02,recovery
2023-02-03,recovery
2023-02-06,recovery
2023-02-07,recovery
2023-02-08,recovery
2023-02-09,recovery
2023-02-10,recovery
2023-02-13,recovery
2023-02-14,recovery
2023-02-15,recovery
2023-02-16,recovery
2023-02-17,recovery
2023-02-20,recovery
2023-02-21,recovery
2023-02-22,recovery
2023-02-23,recovery
2023-02-24,recovery
2023-02-27,recovery
2023-02-28,recovery
2023-03-01,recovery
2023-03-02,recovery
2023-03-03,recovery
2023-03-06,recovery
2023-03-07,recovery
2023-03-08,recovery
2023-03-09,recovery
2023-03-10,recovery
2023-03-13,recovery
2023-03-14,recovery
2023-03-15,recovery
2023-03-16,recovery
2023-03-17,recovery
2023-03-20,recovery
2023-03-21,recovery
2023-03-22,recovery
2023-03-23,recovery
2023-03-24,recovery
2023-03-27,recovery
2023-03-28,recovery
2023-03-29,recovery
2023-03-30,recovery
2023-03-31,recovery
2023-04-03,recovery
2023-04-04,recovery
2023-04-05,recovery
2023-04-06,recovery
2023-04-07,recovery
2023-04-10,recovery
2023-04-11,recovery
2023-04-12,recovery
2023-04-13,recovery
2023-04-14,recovery
2023-04-17,recovery
2023-04-18,recovery
2023-04-19,recovery
2023-04-20,recovery
2023-04-21,recovery
2023-04-24,recovery
2023-04-25,recovery
2023-04-26,recovery
2023-04-27,recovery
2023-04-28,recovery
2023-05-01,recovery
2023-05-02,recovery
2023-05-03,recovery
2023-05-04,recovery
2023-05-05,recovery
2023-05-08,recovery
2023-05-09,recovery
2023-05-10,recovery
2023-05-11,recovery
2023-05-12,recovery
2023-05-15,recovery
2023-05-16,recovery
2023-05-17,recovery
2023-05-18,recovery
2023-05-19,recovery
2023-05-22,recovery
2023-05-23,recovery
2023-05-24,recovery
2023-05-25,recovery
2023-05-26,recovery
2023-05-29,recovery
2023-05-30,recovery
2023-05-31,recovery
2023-06-01,recovery
2023-06-02,recovery
2023-06-05,recovery
2023-06-06,recovery
2023-06-07,recovery
2023-06-08,recovery
2023-06-09,recovery
2023-06-12,recovery
2023-06-13,recovery
2023-06-14,recovery
2023-06-15,recovery
2023-06-16,recovery
2023-06-19,recovery
2023-06-20,recovery
2023-06-21,recovery
2023-06-22,recovery
2023-06-23,recovery
2023-06-26,recovery
2023-06-27,recovery
2023-06-28,recovery
2023-06-29,recovery
2023-06-30,recovery
2023-07-03,recovery
2023-07-04,recovery
2023-07-05,recovery
2023-07-06,recovery
2023-07-07,recovery
2023-07-10,recovery
2023-07-11,recovery
2023-07-12,recovery
2023-07-13,recovery
2023-07-14,recovery
2023-07-17,recovery
2023-07-18,recovery
2023-07-19,recovery
2023-07-20,recovery
2023-07-21,recovery
2023-07-24,recovery
2023-07-25,recovery
2023-07-26,recovery
2023-07-27,recovery
2023-07-28,recovery
2023-07-31,recovery
2023-08-01,recovery
2023-08-02,recovery
2023-08-03,recovery
2023-08-04,recovery
2023-08-07,recovery
2023-08-08,recovery
2023-08-09,recovery
2023-08-10,recovery
2023-08-11,recovery
2023-08-14,recovery
2023-08-15,recovery
2023-08-16,recovery
2023-08-17,recovery
2023-08-18,recovery
2023-08-21,recovery
2023-08-22,recovery
2023-08-23,recovery
2023-08-24,recovery
2023-08-25,recovery
2023-08-28,recovery
2023-08-29,recovery
2023-08-30,recovery
2023-08-31,recovery
2023-09-01,recovery
2023-09-04,recovery
2023-09-05,recovery
2023-09-06,recovery
2023-09-07,recovery
2023-09-08,recovery
2023-09-11,recovery
2023-09-12,recovery
2023-09-13,recovery
2023-09-14,recovery
2023-09-15,recovery
2023-09-18,recovery
2023-09-19,recovery
2023-09-20,recovery
2023-09-21,recovery
2023-09-22,recovery
2023-09-25,recovery
2023-09-26,recovery
2023-09-27,recovery
2023-09-28,recovery
2023-09-29,recovery
2023-10-02,recovery
2023-10-03,recovery
2023-10-04,recovery
2023-10-05,recovery
2023-10-06,recovery
2023-10-09,recovery
2023-10-10,recovery
2023-10-11,recovery
2023-10-12,recovery
2023-10-13,recovery
2023-10-16,recovery
2023-10-17,recovery
2023-10-18,recovery
2023-10-19,recovery
2023-10-20,recovery
2023-10-23,recovery
2023-10-24,recovery
2023-10-25,recovery
2023-10-26,recovery
2023-10-27,recovery
2023-10-30,recovery
2023-10-31,recovery
2023-11-01,recovery
2023-11-02,recovery
2023-11-03,recovery
2023-11-06,recovery
2023-11-07,recovery
2023-11-08,recovery
2023-11-09,recovery
2023-11-10,recovery
2023-11-13,recovery
2023-11-14,recovery
2023-11-15,recovery
2023-11-16,recovery
2023-11-17,recovery
2023-11-20,recovery
2023-11-21,recovery
2023-11-22,recovery
2023-11-23,recovery
2023-11-24,recovery
2023-11-27,recovery
2023-11-28,recovery
2023-11-29,recovery
2023-11-30,recovery
2023-12-01,recovery
2023-12-04,recovery
2023-12-05,recovery
